sys/id,sys/name,language,model_name,params/learning_rate,params/sample_ratio,params/random_seed,val_f1score,val_accuracy,test_f1score,test_accuracy
SEA-184,SEA-184,French,multilingual_bert_French,2e-05,128.0,2019.0,0.38331129947896414,0.4672131147540984,0.43187022533530894,0.5040983606557377
SEA-183,SEA-183,French,multilingual_bert_French,2e-05,128.0,2018.0,0.5620131409605094,0.5655737704918032,0.532950505879136,0.5409836065573771
SEA-182,SEA-182,French,multilingual_bert_French,2e-05,128.0,2022.0,0.5453416149068323,0.6311475409836066,0.5751845730027548,0.6762295081967213
SEA-181,SEA-181,French,multilingual_bert_French,2e-05,128.0,2021.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-180,SEA-180,French,multilingual_bert_French,2e-05,128.0,2020.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-179,SEA-179,French,multilingual_bert_French,2e-05,128.0,2019.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-178,SEA-178,French,multilingual_bert_French,2e-05,128.0,2018.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-177,SEA-177,French,multilingual_bert_French,5e-05,64.0,2022.0,0.5080645161290323,0.5081967213114754,0.43031830015957,0.430327868852459
SEA-176,SEA-176,French,multilingual_bert_French,5e-05,64.0,2021.0,0.49570747217806044,0.5737704918032787,0.5217675357842846,0.5942622950819673
SEA-175,SEA-175,French,multilingual_bert_French,5e-05,64.0,2020.0,0.5398706896551724,0.5409836065573771,0.4491351360526896,0.45491803278688525
SEA-174,SEA-174,French,multilingual_bert_French,5e-05,64.0,2019.0,0.5489670170351577,0.5819672131147541,0.6035250712087323,0.6516393442622951
SEA-173,SEA-173,French,multilingual_bert_French,5e-05,64.0,2018.0,0.4340840336134454,0.4344262295081967,0.4581061982636786,0.45901639344262296
SEA-172,SEA-172,French,multilingual_bert_French,5e-05,64.0,2022.0,0.573061668870052,0.6311475409836066,0.5340677788269856,0.6270491803278688
SEA-171,SEA-171,French,multilingual_bert_French,5e-05,64.0,2021.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-170,SEA-170,French,multilingual_bert_French,5e-05,64.0,2020.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-169,SEA-169,French,multilingual_bert_French,5e-05,64.0,2019.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-168,SEA-168,French,multilingual_bert_French,5e-05,64.0,2018.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-167,SEA-167,French,multilingual_bert_French,3e-05,64.0,2022.0,0.5956917978458989,0.6065573770491803,0.4900993490921548,0.5
SEA-166,SEA-166,French,multilingual_bert_French,3e-05,64.0,2021.0,0.4106280193236715,0.6967213114754098,0.4136729544635348,0.6721311475409836
SEA-165,SEA-165,French,multilingual_bert_French,3e-05,64.0,2020.0,0.5796797946362224,0.5819672131147541,0.47111020795231323,0.47540983606557374
SEA-164,SEA-164,French,multilingual_bert_French,3e-05,64.0,2019.0,0.5060728744939271,0.5081967213114754,0.497950924209703,0.5040983606557377
SEA-163,SEA-163,French,multilingual_bert_French,3e-05,64.0,2018.0,0.5155797832963187,0.5163934426229508,0.5041658199552936,0.5081967213114754
SEA-162,SEA-162,French,multilingual_bert_French,3e-05,64.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-161,SEA-161,French,multilingual_bert_French,3e-05,64.0,2021.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-160,SEA-160,French,multilingual_bert_French,3e-05,64.0,2020.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-159,SEA-159,French,multilingual_bert_French,3e-05,64.0,2019.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-158,SEA-158,French,multilingual_bert_French,3e-05,64.0,2018.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-157,SEA-157,French,multilingual_bert_French,2e-05,64.0,2022.0,0.5883770570818702,0.5983606557377049,0.4745693191140279,0.48360655737704916
SEA-156,SEA-156,French,multilingual_bert_French,2e-05,64.0,2021.0,0.26596592968466837,0.319672131147541,0.2666870624651322,0.3155737704918033
SEA-155,SEA-155,French,multilingual_bert_French,2e-05,64.0,2020.0,0.602991068337603,0.6147540983606558,0.49461474730737365,0.5081967213114754
SEA-154,SEA-154,French,multilingual_bert_French,2e-05,64.0,2019.0,0.29588963963963966,0.32786885245901637,0.33069444444444446,0.3524590163934426
